AP,Circle,CITY,circle_code_no,ONT_SERIAL_NO,VENDOR_NAME,mac_address,station_count,downtime_hours_used,ap_manufacturer,host_name,ap_with_poor_coverage,ap_with_poor_coverage_2,ap_with_poor_coverage_5,ap_with_poor_snr_sample_2,ap_with_poor_snr_sample_5,ap_with_poor_snr_sample,ap_with_poor_dl_throughput_less_than_threshold,ap_with_poor_ul_throughput_less_than_threshold,ap_with_poor_link_speed_mcs_rate,ap_with_poor_link_speed_mcs_rate_2,ap_with_poor_link_speed_mcs_rate_5,ap_with_high_interference,ap_with_high_interference_2,ap_with_high_interference_5,ap_with_high_client_disconnection,ap_with_high_retry_rate,ap_with_high_retry_rate_flag,ap_with_high_tx_packet_error,ap_with_high_tx_packet_error_percent,ap_with_high_tx_packet_error_flag,ap_with_high_rx_packet_error,ap_with_high_rx_packet_error_flag,ap_downtime_per,ap_with_high_internet_down_incident,ap_with_high_cpu_utilisation,ap_with_high_memory_packet_error,ap_with_high_no_of_sticky_client_2_with_good_coverage,ap_with_high_no_of_sticky_client_5_with_poor_coverage,ap_with_poor_tot_on_5G,ap_with_zero_usage,ap_with_high_channel_utilisation_pct,ap_with_high_channel_utilisation_count,total_channels_all,ap_with_high_channel_utilisation_2_pct,ap_with_high_channel_utilisation_2_count,total_channels_2,ap_with_high_channel_congestion_5_pct,ap_with_high_channel_congestion_5_count,total_channels_5,ap_with_poor_coverage_breach,ap_with_poor_coverage_2_breach,ap_with_poor_coverage_5_breach,ap_with_poor_snr_sample_2_breach,ap_with_poor_snr_sample_5_breach,ap_with_poor_snr_sample_breach,ap_with_poor_dl_throughput_less_than_threshold_breach,ap_with_poor_ul_throughput_less_than_threshold_breach,ap_with_poor_link_speed_mcs_rate_breach,ap_with_poor_link_speed_mcs_rate_2_breach,ap_with_poor_link_speed_mcs_rate_5_breach,ap_with_high_interference_breach,ap_with_high_interference_2_breach,ap_with_high_interference_5_breach,ap_with_high_client_disconnection_breach,ap_with_high_retry_rate_breach,ap_with_high_tx_packet_error_breach,ap_with_high_tx_packet_error_percent_breach,ap_with_high_rx_packet_error_breach,ap_downtime_per_breach,ap_with_high_internet_down_incident_breach,ap_with_high_cpu_utilisation_breach,ap_with_high_memory_packet_error_breach,ap_with_high_no_of_sticky_client_2_with_good_coverage_breach,ap_with_high_no_of_sticky_client_5_with_poor_coverage_breach,ap_with_poor_tot_on_5G_breach,ap_with_zero_usage_breach,ap_with_high_channel_utilisation_breach,ap_with_high_channel_utilisation_2_breach,ap_with_high_channel_congestion_5_breach,channelobss,channelobss2_4,channelobss2_4_breach,channelobss5,channelobss5_breach,channelobss_breach,ap_with_poor_coverage_sample_count,ap_with_poor_coverage_2_sample_count,ap_with_poor_coverage_5_sample_count,ap_with_poor_snr_sample_2_sample_count,ap_with_poor_snr_sample_5_sample_count,ap_with_poor_snr_sample_sample_count,ap_with_poor_link_speed_mcs_rate_sample_count,ap_with_poor_link_speed_mcs_rate_2_sample_count,ap_with_poor_link_speed_mcs_rate_5_sample_count,ap_with_high_interference_sample_count,ap_with_high_interference_2_sample_count,ap_with_high_interference_5_sample_count,ap_with_high_retry_rate_sample_count,ap_with_high_tx_packet_error_sample_count,ap_with_high_tx_packet_error_percent_sample_count,ap_with_high_rx_packet_error_sample_count,ap_downtime_per_sample_count,ap_with_high_internet_down_incident_sample_count,ap_with_poor_tot_on_5G_sample_count,ap_with_high_channel_utilisation_sample_count,ap_with_high_channel_utilisation_2_sample_count,ap_with_high_channel_congestion_5_sample_count,channelobss_sample_count,channelobss2_4_sample_count,channelobss5_sample_count,date
01246472327_dsl,Haryana,Gurgaon,108.0,SROTCC001603,NOKIA,0C-36-23-4F-B1-90,7,,AOT4221NK,DESKTOP-V9GHGK2,2.35,0.0,2.66,0.0,2.69,2.69,2.34,0.15,21.23,88.71,12.26,6.01,13.25,2.25,132.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,99.6,6167849984.0,10.53,4.0,38.0,23.08,3.0,13.0,4.0,1.0,25.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,,,,,False,False,False,False,False,False,False,73.94,100.0,True,47.89,False,True,2643,310,2333,0.0,51326.0,51326.0,2643,310.0,2333.0,2696.0,921.0,1775.0,141.0,2643,142.0,142.0,,,6167849984.0,38.0,13.0,25.0,142.0,71.0,71.0,20260413
01244081160_dsl,Haryana,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,2C-C1-F4-32-FE-41,6,,AOT4221NK,iPhone,0.0,,0.0,0.0,0.0,0.0,3.87,3.28,0.0,0.0,0.0,6.24,18.35,0.0,179.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,100.0,10857114624.0,2.63,1.0,38.0,7.69,1.0,13.0,0.0,0.0,25.0,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,62.34,100.0,True,24.68,False,True,2646,0,2646,0.0,58212.0,58212.0,2646,,2646.0,2916.0,992.0,1924.0,154.0,2646,154.0,154.0,,,10857114624.0,38.0,13.0,25.0,154.0,77.0,77.0,20260413
01244054723_dsl,Haryana,Gurgaon,108.0,NKOT0F0226EE,NOKIA,2C-C1-F4-38-86-31,12,,AOT4221NK,LGwebOSTV,2.2,1.26,2.45,1.14,1.53,1.98,18.57,1.66,21.07,87.12,3.74,1.42,4.15,0.0,408.0,4.91,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,0.0,95.28,19970034688.0,7.89,3.0,38.0,23.08,3.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,85.45,100.0,True,70.9,True,True,3812,792,3020,9504.0,30200.0,28700.0,3812,792.0,3020.0,5080.0,1733.0,3347.0,326.0,3812,324.0,325.0,,,19970034688.0,38.0,13.0,25.0,268.0,134.0,134.0,20260413
012444801137_dsl,Haryana,Gurgaon,108.0,NKOTDF000165,NOKIA,50-3D-7F-DF-EC-00,10,,AOT4221NK,Aditya-Vikram-s-A36,0.12,0.39,0.05,0.33,0.0,0.3,2.36,0.31,22.14,88.99,4.37,3.38,9.38,0.27,63.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,0.0,0.0,0.0,99.85,21058168832.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,85.89,100.0,True,71.78,True,True,4928,1035,3893,21735.0,3893.0,24216.0,4928,1035.0,3893.0,9115.0,3114.0,6001.0,481.0,4928,479.0,482.0,,,21058168832.0,38.0,13.0,25.0,482.0,241.0,241.0,20260413
01244203817_dsl,Haryana,Gurgaon,108.0,ZYOT2E000479,NOKIA,58-07-F8-4F-AB-41,1,,AAP321NK,Unknown_fa:a7:40:5c:ff:8a,0.0,,0.0,0.0,0.0,0.0,0.72,0.01,0.0,0.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.0,0.0,0.0,0.0,100.0,2211878912.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,50.0,100.0,True,0.0,False,False,99,0,99,0.0,2178.0,2178.0,99,,99.0,2885.0,970.0,1915.0,154.0,99,154.0,154.0,,,2211878912.0,38.0,13.0,25.0,154.0,77.0,77.0,20260413
01246472327_dsl,Haryana,Gurgaon,108.0,SROTCC001603,NOKIA,0C-36-23-4F-B1-90,5,,AOT4221NK,AAP321NK,1.12,0.0,1.13,0.0,1.15,1.15,43.78,0.07,1.25,11.11,1.19,6.3,14.4,1.92,164.0,5.16,1.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,99.99,12202669914.0,5.26,2.0,38.0,7.69,1.0,13.0,4.0,1.0,25.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,,,True,False,False,False,False,False,False,False,False,94.87,100.0,True,89.74,True,True,1520,9,1511,0.0,34115.0,34115.0,1520,9.0,1511.0,2891.0,1014.0,1877.0,155.0,1520,156.0,156.0,,,12202669914.0,38.0,13.0,25.0,156.0,78.0,78.0,20260414
01244081160_dsl,Haryana,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,2C-C1-F4-32-FE-41,6,,AOT4221NK,,0.0,,0.0,0.0,0.0,0.0,2.57,0.32,0.0,0.0,0.0,7.97,23.26,0.0,141.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,100.0,19729752064.0,5.26,2.0,38.0,15.38,2.0,13.0,0.0,0.0,25.0,False,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,,,,False,False,False,False,False,False,False,60.37,100.0,True,20.73,False,True,2916,0,2916,0.0,69984.0,69984.0,2916,,2916.0,3110.0,1066.0,2044.0,164.0,2916,164.0,164.0,,,19729752064.0,38.0,13.0,25.0,164.0,82.0,82.0,20260414
01244203817_dsl,Haryana,Gurgaon,108.0,ZYOT2E000479,NOKIA,58-07-F8-4F-AB-41,3,,AAP321NK,Mac,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.03,5.2,10.98,0.0,0.0,0.0,0.0,546.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,,,16.0,0.0,0.0,0.0,5.67,149798912.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,,,True,False,False,False,True,False,False,False,False,50.0,100.0,True,0.0,False,False,173,82,91,0.0,2184.0,2184.0,173,82.0,91.0,3277.0,1108.0,2169.0,176.0,173,176.0,176.0,,,149798912.0,38.0,13.0,25.0,176.0,88.0,88.0,20260414
012436398608_dsl,Haryana,Gurgaon,108.0,NKOTDF0001E7,NOKIA,50-3D-7F-DF-F4-20,10,,AOT4221NK,iPad,0.19,0.93,0.0,0.0,0.0,0.0,3.79,0.31,17.54,67.44,4.46,0.89,2.6,0.0,120.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,0.0,64.77,57746370560.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,50.9,100.0,True,1.81,False,True,4127,857,3270,0.0,78480.0,50520.0,4127,857.0,3270.0,6307.0,2157.0,4150.0,498.0,4127,491.0,498.0,,,57746370560.0,38.0,13.0,25.0,332.0,166.0,166.0,20260414
01246472327_dsl,Haryana,Gurgaon,108.0,SROTCC001603,NOKIA,0C-36-23-4F-B1-90,4,,AOT4221NK,,0.16,0.0,0.2,0.0,0.2,0.2,2.15,0.06,17.82,87.5,0.2,6.59,16.13,1.46,28.0,8.2,1.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,99.97,7745245184.0,2.63,1.0,38.0,0.0,0.0,13.0,4.0,1.0,25.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,,,,,False,False,False,False,False,False,False,93.55,100.0,True,87.1,True,True,634,128,506,0.0,5060.0,5060.0,634,128.0,506.0,1154.0,403.0,751.0,61.0,634,62.0,62.0,,,7745245184.0,38.0,13.0,25.0,62.0,31.0,31.0,20260415
01244081160_dsl,Haryana,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,2C-C1-F4-32-FE-41,7,,AOT4221NK,,0.0,0.0,0.0,0.0,0.0,0.0,16.24,1.51,14.79,100.0,0.0,8.32,23.98,0.2,153.0,4.24,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,95.02,1039863808.0,7.89,3.0,38.0,23.08,3.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,60.17,100.0,True,20.34,False,True,1102,163,939,0.0,15963.0,15963.0,1102,163.0,939.0,2236.0,763.0,1473.0,118.0,1102,118.0,118.0,,,1039863808.0,38.0,13.0,25.0,118.0,59.0,59.0,20260415
012444903348_dsl,Haryana,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,2C-C1-F4-32-FF-31,11,,AAP321NK,Unknown_dc:4b:a1:04:e8:a6,0.21,6.3,0.0,2.41,0.0,0.0,7.64,2.29,14.05,69.29,12.18,1.36,3.99,0.0,262.0,11.08,1.0,0.23,0.31,0.0,0.0,0.0,,,17.0,0.0,1.0,0.0,89.0,42115918848.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,,,True,False,False,False,False,False,False,False,False,96.71,100.0,True,93.41,True,True,3871,127,3744,2159.0,0.0,1802.0,3871,127.0,3744.0,6324.0,2158.0,4166.0,334.0,3871,320.0,333.0,,,42115918848.0,38.0,13.0,25.0,334.0,167.0,167.0,20260415
012444801137_dsl,Haryana,Gurgaon,108.0,NKOTDF000165,NOKIA,50-3D-7F-DF-EC-00,7,,AAP321NK,Family-Room-TV,0.97,9.0,0.37,5.18,0.0,0.0,3.99,1.75,15.59,84.0,10.47,4.22,11.63,0.37,50.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,99.99,19070988969.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,61.02,100.0,True,22.03,False,True,1437,100,1337,1700.0,0.0,1547.0,1437,100.0,1337.0,4481.0,1531.0,2950.0,236.0,1437,232.0,236.0,,,19070988969.0,38.0,13.0,25.0,236.0,118.0,118.0,20260415
01244203817_dsl,Haryana,Gurgaon,108.0,ZYOT2E000479,NOKIA,58-07-F8-4F-AB-41,3,,AAP321NK,Mac,31.53,89.74,0.0,0.0,0.0,0.0,0.1,0.03,32.43,92.31,0.0,0.0,0.0,0.0,587.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,,,17.0,0.0,0.0,0.0,76.18,8769536.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,50.0,100.0,True,0.0,False,False,111,39,72,0.0,1224.0,1224.0,111,39.0,72.0,2246.0,757.0,1489.0,120.0,111,120.0,120.0,,,8769536.0,38.0,13.0,25.0,120.0,60.0,60.0,20260415
012436398608_dsl,Haryana,Gurgaon,108.0,NKOTDF0001E7,NOKIA,50-3D-7F-DF-F4-20,11,,AAP321NK,OnePlus-Nord-CE4-Lite-5G,0.27,1.28,0.04,0.0,0.03,0.0,3.39,0.64,19.14,47.67,12.57,1.13,3.3,0.0,113.0,6.98,1.0,0.27,0.28,0.0,0.0,0.0,,,1.0,0.0,2.0,0.0,55.84,52110457856.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,,,True,False,False,False,False,False,False,False,False,50.42,100.0,True,0.84,False,True,3328,623,2705,0.0,45985.0,29104.0,3328,623.0,2705.0,4521.0,1547.0,2974.0,358.0,3328,354.0,357.0,,,52110457856.0,38.0,13.0,25.0,238.0,119.0,119.0,20260415
01246472327_dsl,Haryana,Gurgaon,108.0,SROTCC001603,NOKIA,0C-36-23-4F-B1-90,6,,AOT4221NK,DESKTOP-V9GHGK2,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.25,0.1,0.0,0.1,4.68,11.61,1.05,203.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,99.98,7630724650.0,7.89,3.0,38.0,15.38,2.0,13.0,4.0,1.0,25.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,98.17,100.0,True,96.34,True,True,1030,9,1021,0.0,24480.0,24480.0,1030,9.0,1021.0,3053.0,1051.0,2002.0,158.0,1030,161.0,161.0,,,7630724650.0,38.0,13.0,25.0,164.0,82.0,82.0,20260416
